timestamp_ms,emg_adc,emg_rms,flex_thumb,flex_index,flex_middle,flex_ring,flex_pinky,fsr_thumb,fsr_index,fsr_middle,spike_rate,membrane_potential,servo_angle,gesture_class,gesture_id
0,622,0.608,848,770,606,571,688,100,182,162,0,0.012,116,1,1
10,607,0.593,599,651,630,649,808,81,167,187,0,0.042,59,1,1
20,540,0.528,660,813,521,752,735,168,128,170,0,0.08,88,1,1
30,534,0.522,689,674,550,554,743,143,82,180,0,0.136,80,1,1
40,592,0.579,666,773,588,815,513,193,88,169,0,0.046,82,1,1
50,611,0.597,763,534,705,580,549,183,83,81,0,0.042,35,1,1
60,523,0.511,809,690,717,543,661,153,141,179,0,0.145,43,1,1
70,534,0.522,714,751,689,795,712,159,188,161,0,0.117,82,1,1
80,643,0.629,540,656,514,800,564,168,150,88,1,0.199,117,1,1
90,582,0.569,638,580,662,788,760,185,182,120,0,0.173,57,1,1
100,591,0.578,767,532,547,561,715,116,178,123,0,0.177,115,1,1
110,620,0.606,630,756,504,717,754,93,182,106,0,0.142,38,1,1
120,609,0.595,541,678,562,730,740,131,175,83,0,0.121,52,1,1
130,548,0.536,535,512,659,826,686,194,165,107,0,0.125,95,1,1
140,581,0.568,633,783,527,607,543,163,109,141,0,0.065,104,1,1
150,611,0.597,730,689,724,782,620,195,156,184,0,0.001,32,1,1
160,581,0.568,664,724,806,733,671,103,158,138,0,0.104,61,1,1
170,632,0.618,817,551,767,794,612,180,192,135,1,0.173,110,1,1
180,521,0.509,629,719,553,842,723,176,80,98,0,0.106,31,1,1
190,587,0.574,702,683,622,754,793,103,148,195,0,0.08,99,1,1
200,616,0.602,700,623,686,825,848,82,99,138,0,0.003,65,1,1
210,615,0.601,698,807,627,538,837,183,80,90,0,0.023,86,1,1
220,561,0.548,598,762,751,643,845,191,195,139,0,0.199,31,1,1
230,556,0.543,659,508,732,598,646,127,159,82,0,0.177,49,1,1
240,639,0.625,660,615,574,612,603,163,178,191,1,0.253,118,1,1
250,612,0.598,837,693,809,662,707,140,120,179,0,0.004,62,1,1
260,540,0.528,803,634,694,627,532,127,155,138,0,0.053,115,1,1
270,557,0.544,729,550,763,782,526,177,100,109,0,0.134,57,1,1
280,580,0.567,803,646,503,534,691,128,96,123,0,0.191,59,1,1
290,636,0.622,505,598,732,536,779,172,192,125,1,0.234,82,1,1
300,635,0.621,690,752,660,755,822,97,104,185,1,0.259,83,1,1
310,623,0.609,673,779,613,787,841,102,145,106,0,0.065,31,1,1
320,623,0.609,798,745,675,538,669,198,105,178,0,0.173,79,1,1
330,532,0.52,815,812,535,672,519,144,87,189,0,0.01,45,1,1
340,634,0.62,642,591,821,787,714,142,165,130,1,0.151,54,1,1
350,644,0.63,649,813,557,841,804,131,121,149,1,0.192,44,1,1
360,620,0.606,763,552,559,607,504,182,147,85,0,0.14,76,1,1
370,571,0.558,643,768,623,605,657,98,96,199,0,0.087,92,1,1
380,577,0.564,845,728,616,817,778,88,91,196,0,0.035,30,1,1
390,520,0.508,738,789,595,625,617,127,168,183,0,0.191,30,1,1
400,588,0.575,777,848,746,575,653,95,130,180,0,0.003,115,1,1
410,588,0.575,546,593,737,703,717,169,127,164,0,0.069,68,1,1
420,620,0.606,522,749,509,745,824,179,113,131,0,0.125,39,1,1
430,615,0.601,756,824,503,515,779,159,198,81,0,0.188,61,1,1
440,643,0.629,532,678,600,767,822,144,112,119,1,0.161,103,1,1
450,548,0.536,511,594,801,752,741,114,166,160,0,0.064,119,1,1
460,609,0.595,614,604,695,813,613,188,154,108,0,0.084,65,1,1
470,620,0.606,691,726,676,598,535,161,192,182,0,0.173,53,1,1
480,556,0.543,767,682,512,778,716,178,184,109,0,0.107,46,1,1
490,603,0.589,716,841,686,518,676,179,91,140,0,0.018,48,1,1
500,547,0.535,705,722,551,838,643,196,148,178,0,0.066,41,1,1
510,642,0.628,552,650,643,556,538,188,132,121,1,0.132,87,1,1
520,641,0.627,632,662,714,720,734,154,97,190,1,0.258,105,1,1
530,526,0.514,673,640,667,669,782,145,84,108,0,0.047,66,1,1
540,628,0.614,820,841,644,826,716,124,83,115,1,0.262,99,1,1
550,538,0.526,681,666,590,701,845,98,118,146,0,0.002,74,1,1
560,645,0.63,557,647,816,500,847,141,142,192,1,0.294,54,1,1
570,636,0.622,633,557,543,672,659,124,140,126,1,0.129,50,1,1
580,539,0.527,546,732,804,513,642,110,80,196,0,0.117,83,1,1
590,531,0.519,829,723,771,655,507,171,115,169,0,0.071,37,1,1
600,547,0.535,719,540,727,691,644,152,112,196,0,0.121,113,1,1
610,565,0.552,534,752,581,755,696,126,104,145,0,0.187,39,1,1
620,628,0.614,504,618,788,564,645,175,190,128,1,0.239,40,1,1
630,582,0.569,716,841,814,782,676,156,112,177,0,0.003,30,1,1
640,574,0.561,505,696,632,758,522,180,132,116,0,0.17,103,1,1
650,604,0.59,577,500,550,672,704,83,141,144,0,0.009,61,1,1
660,614,0.6,571,538,653,749,661,133,197,82,0,0.17,79,1,1
670,573,0.56,735,721,750,812,611,126,102,158,0,0.128,114,1,1
680,594,0.581,602,691,751,725,793,129,177,161,0,0.111,59,1,1
690,571,0.558,748,665,834,529,746,185,130,160,0,0.159,34,1,1
700,593,0.58,772,839,568,533,761,132,145,156,0,0.048,72,1,1
710,634,0.62,610,748,650,682,835,174,154,197,1,0.248,45,1,1
720,623,0.609,683,780,694,694,654,172,111,129,0,0.038,90,1,1
730,540,0.528,504,591,669,816,521,100,149,80,0,0.092,34,1,1
740,609,0.595,545,533,577,717,800,106,152,105,0,0.126,76,1,1
750,575,0.562,849,606,818,547,560,160,105,115,0,0.017,30,1,1
760,618,0.604,752,679,706,802,626,135,165,93,0,0.152,119,1,1
770,597,0.584,715,653,513,686,811,194,86,82,0,0.102,52,1,1
780,537,0.525,793,726,514,691,618,180,107,153,0,0.064,68,1,1
790,605,0.591,625,799,524,644,512,163,104,147,0,0.158,39,1,1
800,628,0.614,645,610,727,610,533,190,87,119,1,0.196,112,1,1
810,620,0.606,505,679,781,819,725,138,135,138,0,0.121,99,1,1
820,552,0.54,649,776,697,569,611,83,173,154,0,0.057,91,1,1
830,614,0.6,651,810,636,746,742,110,119,180,0,0.199,65,1,1
840,525,0.513,821,719,574,503,834,85,197,192,0,0.164,80,1,1
850,598,0.585,702,525,672,799,632,149,105,197,0,0.085,97,1,1
860,539,0.527,612,639,546,500,589,93,143,117,0,0.101,66,1,1
870,619,0.605,832,758,660,677,509,84,102,89,0,0.04,73,1,1
880,649,0.634,583,820,818,600,828,96,88,154,1,0.214,44,1,1
890,613,0.599,594,804,568,817,735,129,157,196,0,0.188,104,1,1
900,595,0.582,534,500,795,819,559,143,172,151,0,0.159,40,1,1
910,533,0.521,815,785,790,712,664,84,162,157,0,0.182,55,1,1
920,608,0.594,736,541,588,795,827,118,183,93,0,0.093,61,1,1
930,616,0.602,522,562,642,652,644,176,190,198,0,0.109,95,1,1
940,623,0.609,603,538,697,633,566,86,130,151,0,0.028,71,1,1
950,534,0.522,610,656,788,730,656,117,136,176,0,0.149,56,1,1
960,605,0.591,821,509,504,622,829,176,197,117,0,0.022,42,1,1
970,628,0.614,715,683,514,656,635,84,108,126,1,0.264,97,1,1
980,649,0.634,594,614,742,791,781,122,106,148,1,0.156,49,1,1
990,593,0.58,537,633,699,522,802,169,125,186,0,0.182,41,1,1
1000,623,0.609,709,610,603,815,670,155,187,179,0,0.158,97,1,1
1010,556,0.543,827,626,605,591,786,88,197,130,0,0.021,58,1,1
1020,560,0.547,713,766,756,801,600,100,169,189,0,0.025,65,1,1
1030,576,0.563,500,818,554,648,808,88,153,131,0,0.001,86,1,1
1040,554,0.542,562,743,524,589,574,117,81,86,0,0.096,111,1,1
1050,610,0.596,516,627,750,678,681,103,104,150,0,0.084,81,1,1
1060,607,0.593,660,676,784,562,649,105,107,193,0,0.103,114,1,1
1070,600,0.587,583,676,647,617,841,171,142,140,0,0.06,78,1,1
1080,642,0.628,710,817,531,657,784,128,124,172,1,0.287,59,1,1
1090,538,0.526,517,756,577,674,693,197,171,192,0,0.153,67,1,1
1100,648,0.633,763,554,630,787,765,153,162,189,1,0.202,63,1,1
1110,606,0.592,554,787,677,848,507,144,136,198,0,0.046,96,1,1
1120,591,0.578,553,748,738,728,566,130,176,171,0,0.02,37,1,1
1130,615,0.601,587,577,787,619,801,186,95,147,0,0.028,66,1,1
1140,574,0.561,506,829,762,660,650,164,98,191,0,0.117,48,1,1
1150,601,0.587,501,802,696,510,733,81,146,166,0,0.166,41,1,1
1160,556,0.543,755,721,725,552,841,187,103,160,0,0.113,103,1,1
1170,578,0.565,714,627,723,708,614,160,93,88,0,0.14,69,1,1
1180,544,0.532,700,745,777,734,503,105,137,108,0,0.137,116,1,1
1190,589,0.576,645,627,840,541,540,117,113,96,0,0.13,66,1,1
1200,641,0.627,575,586,616,841,526,136,110,85,1,0.17,69,1,1
1210,572,0.559,672,689,621,545,563,81,133,186,0,0.017,94,1,1
1220,555,0.543,781,528,648,766,795,90,115,192,0,0.059,88,1,1
1230,573,0.56,597,554,610,651,745,101,148,135,0,0.054,62,1,1
1240,600,0.587,700,653,572,700,795,96,80,168,0,0.138,90,1,1
1250,561,0.548,524,538,790,630,728,187,123,130,0,0.072,41,1,1
1260,563,0.55,804,516,829,556,810,192,126,91,0,0.192,91,1,1
1270,602,0.588,763,648,580,714,697,151,104,161,0,0.129,118,1,1
1280,578,0.565,525,546,787,765,515,150,96,102,0,0.114,55,1,1
1290,533,0.521,834,616,506,636,675,151,193,138,0,0.159,116,1,1
1300,635,0.621,602,772,513,658,651,178,187,139,1,0.135,74,1,1
1310,556,0.543,670,682,538,514,503,172,165,104,0,0.125,42,1,1
1320,535,0.523,607,810,726,669,533,109,198,92,0,0.077,42,1,1
1330,615,0.601,726,538,801,528,817,196,187,136,0,0.175,45,1,1
1340,640,0.626,765,839,564,676,502,124,93,199,1,0.291,59,1,1
1350,556,0.543,652,692,572,804,843,147,91,138,0,0.157,66,1,1
1360,643,0.629,697,794,818,801,843,90,141,156,1,0.269,54,1,1
1370,523,0.511,558,571,647,848,562,133,196,194,0,0.009,103,1,1
1380,576,0.563,717,740,758,761,504,84,133,126,0,0.177,116,1,1
1390,618,0.604,519,740,560,677,837,141,96,167,0,0.163,32,1,1
1400,532,0.52,619,588,828,567,597,90,184,135,0,0.055,96,1,1
1410,548,0.536,636,694,725,831,669,88,158,119,0,0.11,54,1,1
1420,643,0.629,537,827,750,675,589,97,149,116,1,0.142,89,1,1
1430,547,0.535,580,613,539,800,723,141,172,194,0,0.114,87,1,1
1440,559,0.546,539,846,736,788,761,167,98,159,0,0.049,69,1,1
